[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)CO/C=C\CCCCCCCCCCCCCCCCCC,Glycerophospholipids,2
C1C(C)(C)C(/C=C/C(/C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=[C@@]=C2[C@](C)(O)C[C@@H](O)CC2(C)C)=C(C)[C@@H](O)[C@H]1O,Prenol Lipids,5
[C@]([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O,Glycerophospholipids,2
[C@]([H])(OC(CCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCCCCCCC)=O,Glycerophospholipids,2
C(OC(=O)CCCCCCC/C=C\CCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCC)=O,Glycerolipids,1
C1(O)C=C(O)C2[C@@](C3C=CC(O)=CC=3)([H])CC(OC[C@H]3O[C@@H](OC4=CC(=CC(O)=C4O)C4OC=2C=1C(=O)C=4O)[C@@H]([C@H]([C@@H]3O)O)O)=O,Polyketides,7
O1[C@H](CO)[C@@H](OC(/C(/C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCCC)=O)[C@@H]([C@@H](OC(/C(/C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCC)=O)[C@H]1O[C@H]1O[C@H](COC([C@@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCC)=O)[C@@H](O)[C@H](OC(/C(/C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCC)=O)[C@H]1OC(CCCCCCCCCCCCCCCCC)=O)O,Saccharolipids,6
C(OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COC(CCCCCCC/C=C\CCCC)=O,Glycerolipids,1
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCCC/C=C\CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,Fatty Acyls,0
[C@]([H])(OC(CCCCCCC/C=C\CCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COCCCCCCCCCCCCCCCC,Glycerophospholipids,2
[C@@H]1(O)C/C(=C\C=C2\[C@]3([H])CC[C@@]([C@@](C)([H])CCCC(O)(C)C)([H])[C@@]3(C)CCC\2)/C[C@@H](O)[C@H]1O,Sterol Lipids,4
C1(O)=C(C[C@@H](CCC(O)(C)C)C(=C)C)C2OC(C3C(O)=CC(O)=CC=3)=C(O)C(=O)C=2C(O)=C1,Polyketides,7
C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O,Glycerolipids,1
[C@](COP(=O)(O)O)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O,Glycerophospholipids,2
C1(O)=C(OC)C2OC(C3C=C(OC)C(O)=CC=3)=C(O[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)C(=O)C=2C(O)=C1,Polyketides,7
[C@](COP(=O)(O)O)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCCCCCCCC)=O,Glycerophospholipids,2
C(OC(=O)CCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COC(CCCCCCC/C=C\CCCC)=O,Glycerolipids,1
[C@@H]1([C@H](O)[C@H](OP(=O)(O)O)[C@@H](COP(O)(=O)OP(O)(=O)OCC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CCCCCCC/C=C\C/C=C\CCCCC)=O)C)O1)N1C=NC2C(N)=NC=NC1=2,Fatty Acyls,0
C1C=C(O)C(OC)=CC=1C1=C(O[C@H]2[C@H](O[C@H]3[C@H](O)[C@](CO)(O)CO3)[C@@H](O)[C@H](CO[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)O2)C(=O)C2C(O)=CC(OC)=CC=2O1,Polyketides,7
[C@](COP(=O)(O)O)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,Glycerophospholipids,2
C1=C(O)C=CC(O)=C1/C=C/C(=O)C1C(O)=C2C=CC(CC/C=C(/C)\C)(OC2=CC=1)C,Polyketides,7
[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCCCCCCCCCC)=O,Glycerophospholipids,2
CC/C=C/C/C=C/C=C/C([H])=O,Fatty Acyls,0
O(C(CC(C)C)=O)CCCC#CC#C/C=C\C,Fatty Acyls,0
[C@]([H])(OC(CCCCCCC/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC/C=C\CCCCCCCC)=O,Glycerophospholipids,2
